NO2,O3,PM10,PM2.5,wind_speed,temperature,solar_radiation,humidity
2.4,95.0,3.8,2.7,2.8,13.8,538.0,36
2.4,93.0,4.0,2.8,5.0,13.1,416.0,38
2.4,89.0,5.3,3.2,5.66,12.0,287.0,46
2.0,94.0,6.2,3.7,5.51,10.1,146.0,58
2.2,88.0,7.1,3.5,5.35,8.2,36.0,69
2.2,84.0,7.1,3.4,4.97,7.3,0.0,70
2.4,76.0,7.4,3.1,4.87,7.4,0.0,72
2.4,71.0,9.0,2.9,4.6,7.9,0.0,79
2.1,69.0,9.1,3.2,4.71,7.8,0.0,83
2.2,69.0,7.6,3.4,5.0,7.8,0.0,86
2.2,70.0,7.6,3.7,5.11,8.3,0.0,85
2.2,71.0,8.4,4.1,4.81,7.4,0.0,90
2.3,68.0,9.2,4.3,4.43,6.9,0.0,92
3.0,67.0,8.3,4.4,4.15,6.6,7.0,91
3.7,65.0,7.5,4.3,3.94,7.3,83.0,87
4.6,62.0,6.5,3.8,3.61,8.8,217.0,80
4.0,66.0,5.0,2.8,3.94,10.4,366.0,70
2.7,78.0,4.6,2.1,4.7,11.9,498.0,57
2.1,77.0,3.9,1.9,4.25,12.3,607.0,50
1.5,81.0,3.2,1.8,4.21,12.5,696.0,48
1.4,83.0,2.7,1.7,4.24,12.6,762.0,46
1.4,84.0,2.7,1.8,4.03,12.6,783.0,44
1.7,86.0,2.9,1.8,4.16,13.4,758.0,36
2.4,86.0,3.1,1.9,4.11,13.5,690.0,36
2.7,86.0,3.7,2.0,3.18,13.6,572.0,41
3.0,85.0,3.6,2.0,3.33,13.1,361.0,48
3.1,88.0,3.7,2.0,3.22,11.9,225.0,53
3.6,86.0,3.5,2.0,2.94,11.1,111.0,56
4.6,81.0,3.9,2.1,2.74,9.9,27.0,63
5.4,80.0,4.3,2.3,2.72,9.0,0.0,67
6.3,76.0,4.7,2.5,2.15,8.1,0.0,74
7.1,69.0,5.0,2.7,2.15,7.2,0.0,80
6.9,65.0,5.4,3.0,2.25,6.8,0.0,80
6.7,55.0,5.2,3.4,2.15,6.4,0.0,77
7.4,54.0,5.0,3.5,2.0,5.7,0.0,78
7.0,51.0,5.3,3.8,2.76,5.7,0.0,79
